Lambda,EPW 3w No Grating,Lambda QE,QE,Total (Notmalized to 300nm)
361,0.001308927,,,0.7471
362,0.001267656,,,0.7261
363,0.001197776,,,0.6885
364,0.001191424,,,0.6873
365,0.001273734,,,0.7374
366,0.001185013,,,0.6884
367,0.001181386,,,0.6887
368,0.001169899,,,0.6843
369,0.001166032,,,0.6844
370,0.001224679,,,0.7213
371,0.00120338,,,0.7112
372,0.001174248,,,0.6963
373,0.001125124,,,0.6694
374,0.001133062,,,0.6764
375,0.001175,,,0.7038
376,0.001098076,,,0.6599
377,0.001106479,,,0.6672
378,0.001271544,,,0.7693
379,0.001155588,,,0.7014
380,0.001133983,,,0.6906
381,0.001184866,,,0.7239
382,0.001130912,,,0.6932
383,0.00110584,,,0.6801
384,0.001163278,,,0.7177
385,0.001159143,,,0.7175
386,0.001453193,,,0.9024
387,0.001172137,,,0.7302
388,0.001175867,,,0.7349
389,0.001168927,,,0.7329
390,0.001139425,,,0.7167
391,0.001154238,,,0.7283
392,0.001176842,,,0.7449
393,0.001126926,,,0.7156
394,0.001124346,,,0.7162
395,0.001123128,,,0.7176
396,0.001159623,,,0.7433
397,0.001158773,,,0.745
398,0.001138963,,,0.7346
399,0.001110585,,,0.7185
400,0.001170366,,,0.7595
401,0.001149146,,,0.748
402,0.001144872,,,0.7475
403,0.001117401,,,0.7318
404,0.001111669,,,0.7303
405,0.001147847,,,0.7563
406,0.001156029,,,0.764
407,0.001128388,,,0.748
408,0.001168782,,,0.7771
409,0.001169647,,,0.78
410,0.001250666,,,0.8365
411,0.001359189,,,0.9118
412,0.001093252,,,0.7356
413,0.001121717,,,0.757
414,0.001165052,,,0.7885
415,0.001135446,,,0.7708
416,0.001182013,,,0.8047
417,0.001185373,,,0.8094
418,0.001156436,,,0.7919
419,0.001202272,,,0.8258
420,0.001171374,,,0.807
421,0.001206462,,,0.8336
422,0.001389215,,,0.9627
423,0.001107135,,,0.7695
424,0.001129975,,,0.7876
425,0.001137403,,,0.7951
426,0.001093389,,,0.7666
427,0.00114257,,,0.8034
428,0.001171714,,,0.8263
429,0.001193447,,,0.8441
430,0.001152076,,,0.8171
431,0.001186842,,,0.8442
432,0.001342451,,,0.9576
433,0.001340901,,,0.9593
434,0.001075255,,,0.7714
435,0.00117922,,,0.8484
436,0.001175525,,,0.8481
437,0.001174099,,,0.8495
438,0.001142321,,,0.8288
439,0.001129214,,,0.8216
440,0.001167481,,,0.851
441,0.001182612,,,0.8626
442,0.00114948,,,0.8391
443,0.001140261,,,0.833
444,0.00122804,,,0.8978
445,0.001254952,,,0.9182
446,0.001216323,,,0.8906
447,0.001181447,,,0.8657
448,0.001197204,,,0.8779
449,0.001247996,,,0.9159
450,0.00125497,,,0.9217
451,0.001267464,,,0.9316
452,0.001265194,,,0.9306
453,0.00126062,,,0.928
454,0.001263825,,,0.931
455,0.001240232,,,0.9143
456,0.001258298,,,0.9284
457,0.001296461,,,0.9572
458,0.001261736,,,0.9323
459,0.001238486,,,0.9158
460,0.001269329,,,0.9393
461,0.001305925,,,0.9671
462,0.001285262,,,0.9525
463,0.001254513,,,0.9304
464,0.001257296,,,0.9331
465,0.001333551,,,0.9904
466,0.001299469,,,0.9658
467,0.00127507,,,0.9484
468,0.001316724,,,0.9801
469,0.00129428,,,0.9641
470,0.001241066,,,0.9251
471,0.001213045,,,0.9049
472,0.001228128,,,0.9168
473,0.001270235,,,0.9489
474,0.001228414,,,0.9183
475,0.001155368,,,0.8643
476,0.001131913,,,0.8474
477,0.001174113,,,0.8796
478,0.00118295,,,0.8869
479,0.001206844,,,0.9054
480,0.001167546,,,0.8766
481,0.001165697,,,0.8758
482,0.001157184,,,0.8701
483,0.001136002,,,0.8543
484,0.00113717,,,0.8552
485,0.001160414,,,0.8727
486,0.001215539,,,0.9141
487,0.001219365,,,0.917
488,0.001175279,,,0.8839
489,0.001215192,,,0.9139
490,0.001219978,,,0.9175
491,0.001217729,,,0.9158
492,0.001244782,,,0.9361
493,0.001274641,,,0.9586
494,0.001293549,,,0.9728
495,0.001283111,,,0.965
496,0.001291467,,,0.9712
497,0.001327271,,,0.9982
498,0.00136037,,,1.0231
499,0.001368571,,,1.0292
500,0.001376669,,,1.0353
501,0.001317515,,,0.9908
502,0.001276609,,,0.9601
503,0.001271631,,,0.9553
504,0.00127959,,,0.9599
505,0.001353463,,,1.014
506,0.001370229,,,1.0251
507,0.001341025,,,1.0019
508,0.001339871,,,0.9997
509,0.001329577,,,0.9906
510,0.001331554,,,0.9908
511,0.001307816,,,0.9718
512,0.001300994,,,0.9654
513,0.001361399,,,1.0088
514,0.001350282,,,0.9992
515,0.001313117,,,0.9703
516,0.001307067,,,0.9645
517,0.001288696,,,0.9497
518,0.001304232,,,0.9598
519,0.001306692,,,0.9603
520,0.001232877,,,0.9048
521,0.00125084,,,0.9167
522,0.001293321,,,0.9465
523,0.00130004,,,0.9501
524,0.001274947,,,0.9304
525,0.001257165,,,0.9162
526,0.001278838,,,0.931
527,0.00130439,,,0.9487
528,0.001249423,,,0.9079
529,0.001242675,,,0.9021
530,0.00126397,,,0.9167
531,0.001244372,,,0.9017
532,0.001256687,,,0.9097
533,0.001225298,,,0.8862
534,0.001224861,,,0.885
535,0.001188648,,,0.858
536,0.001173093,,,0.846
537,0.001208117,,,0.8704
538,0.00120343,,,0.8662
539,0.001192734,,,0.8577
540,0.001254213,,,0.9011
541,0.001234531,,,0.8861
542,0.00125738,,,0.9014
